Title,Rarity,Image URL
nicolbolasgodpharaoh,,http://mythicspoiler.com/hou/cards/nicolbolasgodpharaoh.jpg
thelocustgod,,http://mythicspoiler.com/hou/cards/thelocustgod.jpg
thescarabgod,,http://mythicspoiler.com/hou/cards/thescarabgod.jpg
thescorpiongod,,http://mythicspoiler.com/hou/cards/thescorpiongod.jpg
samutthetested,,http://mythicspoiler.com/hou/cards/samutthetested.jpg
djeruwitheyesopen,,http://mythicspoiler.com/hou/cards/djeruwitheyesopen.jpg
uneshcriosphinxsovereign,,http://mythicspoiler.com/hou/cards/uneshcriosphinxsovereign.jpg
razakeththefoulblooded,,http://mythicspoiler.com/hou/cards/razakeththefoulblooded.jpg
nehebtheeternal,,http://mythicspoiler.com/hou/cards/nehebtheeternal.jpg
uncagethemenagerie,,http://mythicspoiler.com/hou/cards/uncagethemenagerie.jpg
oketraslastmercy,,http://mythicspoiler.com/hou/cards/oketraslastmercy.jpg
kefnetslastword,,http://mythicspoiler.com/hou/cards/kefnetslastword.jpg
bontuslastreckoning,,http://mythicspoiler.com/hou/cards/bontuslastreckoning.jpg
hazoretsundyingfury,,http://mythicspoiler.com/hou/cards/hazoretsundyingfury.jpg
rhonasslaststand,,http://mythicspoiler.com/hou/cards/rhonasslaststand.jpg
hourofrevelation,,http://mythicspoiler.com/hou/cards/hourofrevelation.jpg
hourofeternity,,http://mythicspoiler.com/hou/cards/hourofeternity.jpg
hourofglory,,http://mythicspoiler.com/hou/cards/hourofglory.jpg
hourofpromise,,http://mythicspoiler.com/hou/cards/hourofpromise.jpg
gideonsdefeat,,http://mythicspoiler.com/hou/cards/gideonsdefeat.jpg
jacesdefeat,,http://mythicspoiler.com/hou/cards/jacesdefeat.jpg
lilianasdefeat,,http://mythicspoiler.com/hou/cards/lilianasdefeat.jpg
chandrasdefeat,,http://mythicspoiler.com/hou/cards/chandrasdefeat.jpg
nissasdefeat,,http://mythicspoiler.com/hou/cards/nissasdefeat.jpg
crestedsunmare,,http://mythicspoiler.com/hou/cards/crestedsunmare.jpg
overwhelmingsplendor,,http://mythicspoiler.com/hou/cards/overwhelmingsplendor.jpg
angelofcondemnation,,http://mythicspoiler.com/hou/cards/angelofcondemnation.jpg
solemnity,,http://mythicspoiler.com/hou/cards/solemnity.jpg
stewardofsolidarity,,http://mythicspoiler.com/hou/cards/stewardofsolidarity.jpg
angelofthegodpharaoh,,http://mythicspoiler.com/hou/cards/angelofthegodpharaoh.jpg
vizierofthetrue,,http://mythicspoiler.com/hou/cards/vizierofthetrue.jpg
desertshold,,http://mythicspoiler.com/hou/cards/desertshold.jpg
godpharaohsfaithful,,http://mythicspoiler.com/hou/cards/godpharaohsfaithful.jpg
steadfastsentinel,,http://mythicspoiler.com/hou/cards/steadfastsentinel.jpg
adornedpouncer,,http://mythicspoiler.com/hou/cards/adornedpouncer.jpg
championofwits,,http://mythicspoiler.com/hou/cards/championofwits.jpg
nimbleobstructionist,,http://mythicspoiler.com/hou/cards/nimbleobstructionist.jpg
frayingsanity,,http://mythicspoiler.com/hou/cards/frayingsanity.jpg
swarmintelligence,,http://mythicspoiler.com/hou/cards/swarmintelligence.jpg
eternalofharshtruths,,http://mythicspoiler.com/hou/cards/eternalofharshtruths.jpg
vizieroftheanointed,,http://mythicspoiler.com/hou/cards/vizieroftheanointed.jpg
ominoussphinx,,http://mythicspoiler.com/hou/cards/ominoussphinx.jpg
sinuousstriker,,http://mythicspoiler.com/hou/cards/sinuousstriker.jpg
supremewill,,http://mythicspoiler.com/hou/cards/supremewill.jpg
provencombatant,,http://mythicspoiler.com/hou/cards/provencombatant.jpg
ammiteternal,,http://mythicspoiler.com/hou/cards/ammiteternal.jpg
tormentofhailfire,,http://mythicspoiler.com/hou/cards/tormentofhailfire.jpg
dreamstealer,,http://mythicspoiler.com/hou/cards/dreamstealer.jpg
mercilesseternal,,http://mythicspoiler.com/hou/cards/mercilesseternal.jpg
razakethsritual,,http://mythicspoiler.com/hou/cards/razakethsritual.jpg
tormentofscarabs,,http://mythicspoiler.com/hou/cards/tormentofscarabs.jpg
doomfall,,http://mythicspoiler.com/hou/cards/doomfall.jpg
accursedhorde,,http://mythicspoiler.com/hou/cards/accursedhorde.jpg
tormentofvenom,,http://mythicspoiler.com/hou/cards/tormentofvenom.jpg
khenraeternal,,http://mythicspoiler.com/hou/cards/khenraeternal.jpg
maraudingboneslasher,,http://mythicspoiler.com/hou/cards/maraudingboneslasher.jpg
carrionscreecher,,http://mythicspoiler.com/hou/cards/carrionscreecher.jpg
imminentdoom,,http://mythicspoiler.com/hou/cards/imminentdoom.jpg
mawofchaos,,http://mythicspoiler.com/hou/cards/mawofchaos.jpg
earthshakerkhenra,,http://mythicspoiler.com/hou/cards/earthshakerkhenra.jpg
sandstrangler,,http://mythicspoiler.com/hou/cards/sandstrangler.jpg
ferventpaincaster,,http://mythicspoiler.com/hou/cards/ferventpaincaster.jpg
infernojet,,http://mythicspoiler.com/hou/cards/infernojet.jpg
frontlinedevastator,,http://mythicspoiler.com/hou/cards/frontlinedevastator.jpg
defiantkhenra,,http://mythicspoiler.com/hou/cards/defiantkhenra.jpg
khenrascrapper,,http://mythicspoiler.com/hou/cards/khenrascrapper.jpg
openfire,,http://mythicspoiler.com/hou/cards/openfire.jpg
gildedcerodon,,http://mythicspoiler.com/hou/cards/gildedcerodon.jpg
wildfireeternal,,http://mythicspoiler.com/hou/cards/wildfireeternal.jpg
abrade,,http://mythicspoiler.com/hou/cards/abrade.jpg
uncagethemenagerie,,http://mythicspoiler.com/hou/cards/uncagethemenagerie.jpg
pridesovereign,,http://mythicspoiler.com/hou/cards/pridesovereign.jpg
